ballotID,rank1,rank2,rank3,rank4,Gender,Age,Urbanicity,weight
687100XXXX,5,6,,,1,2,3,0.975928414
695100XXXX,5,1,6,,2,2,3,0.760660651
697100XXXX,5,6,,,2,1,2,1.184722409
703100XXXX,5,6,,,2,1,2,1.164721108
710100XXXX,1,6,,,1,2,1,1.211686063
714100XXXX,1,3,4,6,2,2,3,0.416351438
713100XXXX,1,3,4,2,2,1,2,0.658539292
718100XXXX,1,6,,,2,2,1,0.814063197
728100XXXX,5,6,,,2,2,3,1.275491833
731100XXXX,5,6,,,2,2,3,0.490177886
740100XXXX,5,6,,,2,2,3,0.83427406
746100XXXX,5,6,,,1,1,2,0.911548544
752100XXXX,1,6,,,1,2,3,4.322324499
756100XXXX,1,6,,,1,1,3,1.444664692
757100XXXX,1,3,6,,1,2,2,1.211686063
760100XXXX,5,6,,,1,2,1,4.322324499
763100XXXX,4,2,5,3,1,1,3,1.313174934
764100XXXX,1,3,2,4,1,1,3,0.975544247
